common_name,scientific_name,family
Greater Crested Tern,Thalasseus bergii,"Laridae (Gulls, Terns, Skimmers)"
Arctic Jaeger,Stercorarius parasiticus,Stercorariidae (Skuas)
Pomarine Jaeger,Stercorarius pomarinus,Stercorariidae (Skuas)
South Polar Skua,Catharacta maccormicki,Stercorariidae (Skuas)
Brown Skua,Catharacta antarctica,Stercorariidae (Skuas)
African Grass-owl,Tyto capensis,Tytonidae (Barn-owls)
Common Barn-owl,Tyto alba,Tytonidae (Barn-owls)
Pearl-spotted Owlet,Glaucidium perlatum,Strigidae (Typical Owls)
African Barred Owlet,Glaucidium capense,Strigidae (Typical Owls)
African Scops-owl,Otus senegalensis,Strigidae (Typical Owls)
Southern White-faced Owl,Ptilopsis granti,Strigidae (Typical Owls)
Marsh Owl,Asio capensis,Strigidae (Typical Owls)
African Wood-owl,Strix woodfordii,Strigidae (Typical Owls)
Cape Eagle-owl,Bubo capensis,Strigidae (Typical Owls)
Spotted Eagle-owl,Bubo africanus,Strigidae (Typical Owls)
Verreaux's Eagle-owl,Bubo lacteus,Strigidae (Typical Owls)
Pel's Fishing-owl,Scotopelia peli,Strigidae (Typical Owls)
Secretarybird,Sagittarius serpentarius,Sagittariidae (Secretarybird)
Osprey,Pandion haliaetus,Pandionidae (Osprey)
Black-winged Kite,Elanus caeruleus,Elanidae (Kites)
European Honey-buzzard,Pernis apivorus,"Accipitridae (Hawks, Eagles)"
African Cuckoo-hawk,Aviceda cuculoides,"Accipitridae (Hawks, Eagles)"
African Harrier-hawk,Polyboroides typus,"Accipitridae (Hawks, Eagles)"
Palm-nut Vulture,Gypohierax angolensis,"Accipitridae (Hawks, Eagles)"
Bearded Vulture,Gypaetus barbatus,"Accipitridae (Hawks, Eagles)"
Egyptian Vulture,Neophron percnopterus,"Accipitridae (Hawks, Eagles)"
Bateleur,Terathopius ecaudatus,"Accipitridae (Hawks, Eagles)"
Black-chested Snake-eagle,Circaetus pectoralis,"Accipitridae (Hawks, Eagles)"
Brown Snake-eagle,Circaetus cinereus,"Accipitridae (Hawks, Eagles)"
Southern Banded Snake-eagle,Circaetus fasciolatus,"Accipitridae (Hawks, Eagles)"
White-headed Vulture,Trigonoceps occipitalis,"Accipitridae (Hawks, Eagles)"
Hooded Vulture,Necrosyrtes monachus,"Accipitridae (Hawks, Eagles)"
White-backed Vulture,Gyps africanus,"Accipitridae (Hawks, Eagles)"
Cape Vulture,Gyps coprotheres,"Accipitridae (Hawks, Eagles)"
