common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Long-tailed Paradise Whydah,Vidua paradisaea,Gewone Paradysvink,https://cdn.sabirds.app/long-tailed-paradise-whydah/1_medium.webp,Whydahs,Small,Woodland,"['Black', 'Orange', 'Brown']"
Long-tailed Widowbird,Euplectes progne,Langstertflap,https://cdn.sabirds.app/long-tailed-widowbird/1_medium.webp,Widowbirds,Small,Grassland,"['Black', 'Red', 'Orange']"
Long-toed Lapwing,Vanellus crassirostris,Witvlerkkiewiet,https://cdn.sabirds.app/long-toed-lapwing/1_medium.webp,Lapwings,Medium,Wetland,"['Black', 'White', 'Red']"
Long-toed Stint,Calidris subminuta,Langtoonstrandloper,https://cdn.sabirds.app/long-toed-stint/1_medium.webp,Sandpipers,Small,Wetland,"['Brown', 'Grey', 'White']"
Ludwig's Bustard,Neotis ludwigii,Ludwigse Pou,https://cdn.sabirds.app/ludwigs-bustard/1_medium.webp,Bustards,Very Large,Fynbos,"['Brown', 'Grey', 'White']"
Macaroni Penguin,Eudyptes chrysolophus,Langkuifpikkewyn,https://cdn.sabirds.app/macaroni-penguin/1_medium.webp,Penguins,Very Large,Marine,"['Black', 'White', 'Yellow']"
Maccoa Duck,Oxyura maccoa,Bloubekeend,https://cdn.sabirds.app/maccoa-duck/1_medium.webp,Ducks,Large,Wetland,"['Brown', 'Blue']"
Madagascar Cuckoo,Cuculus rochii,Madagaskarkoekoek,https://cdn.sabirds.app/madagascar-cuckoo/1_medium.webp,Cuckoos,Medium,Forest,"['Grey', 'Brown', 'Black']"
Madagascar Pratincole,Glareola ocularis,Brilwewer,https://cdn.sabirds.app/madagascar-pratincole/1_medium.webp,Pratincoles,Medium,Coastal,"['Brown', 'Cream', 'Black']"
Magpie Mannikin,Spermestes fringilloides,Dikbekfret,https://cdn.sabirds.app/magpie-mannikin/1_medium.webp,Mannikins,Small,Forest,"['Black', 'White', 'Brown']"
Magpie Shrike,Urolestes melanoleucus,Langstertlaksman,https://cdn.sabirds.app/magpie-shrike/1_medium.webp,Shrikes,Medium,Woodland,"['Black', 'White']"
Malachite Kingfisher,Corythornis cristatus,Kuifkopvisvanger,https://cdn.sabirds.app/malachite-kingfisher/1_medium.webp,Kingfishers,Small,Wetland,"['Blue', 'Orange', 'White']"
Malachite Sunbird,Nectarinia famosa,Jangroentjie,https://cdn.sabirds.app/malachite-sunbird/1_medium.webp,Sunbirds,Tiny,Fynbos,"['Green', 'Yellow']"
Malagasy Pond Heron,Ardeola idae,Madagaskar-ralreier,https://cdn.sabirds.app/malagasy-pond-heron/1_medium.webp,Herons,Large,Wetland,"['Grey', 'White', 'Black']"
Mallard,Anas platyrhynchos,Groenkopeend,https://cdn.sabirds.app/mallard/1_medium.webp,Ducks,Large,Wetland,"['Brown', 'Green', 'White']"
Mangrove Kingfisher,Halcyon senegaloides,Manglietvisvanger,https://cdn.sabirds.app/mangrove-kingfisher/1_medium.webp,Kingfishers,Medium,Wetland,"['Blue', 'Grey', 'Red']"
Manx Shearwater,Puffinus puffinus,Swartbekpylstormvoël,https://cdn.sabirds.app/manx-shearwater/1_medium.webp,Shearwaters,Large,Marine,"['Grey', 'Brown', 'White']"
Marabou Stork,Leptoptilos crumenifer,Maraboe,https://cdn.sabirds.app/marabou-stork/1_medium.webp,Storks,Very Large,Grassland,"['Grey', 'White', 'Black']"
Marico Flycatcher,Melaenornis mariquensis,Maricovlieëvanger,https://cdn.sabirds.app/marico-flycatcher/1_medium.webp,Flycatchers,Small,Savanna,"['Brown', 'White']"
Marico Sunbird,Cinnyris mariquensis,Maricosuikerbekkie,https://cdn.sabirds.app/marico-sunbird/1_medium.webp,Sunbirds,Tiny,Woodland,"['Black', 'Purple', 'Green']"
Marsh Owl,Asio capensis,Vlei-uil,https://cdn.sabirds.app/marsh-owl/1_medium.webp,Owls,Large,Grassland,"['Brown', 'Buff']"
Marsh Sandpiper,Tringa stagnatilis,Moerasruiter,https://cdn.sabirds.app/marsh-sandpiper/1_medium.webp,Sandpipers,Medium,Wetland,"['Grey', 'White']"
Marsh Warbler,Acrocephalus palustris,Europese Rietsanger,https://cdn.sabirds.app/marsh-warbler/1_medium.webp,Reed-Warblers,Tiny,Fynbos,"['Brown', 'Buff']"
Martial Eagle,Polemaetus bellicosus,Breëkoparend,https://cdn.sabirds.app/martial-eagle/1_medium.webp,Eagles,Very Large,Grassland,"['Brown', 'White', 'Black']"
Masked Booby,Sula dactylatra,Witmalgas,https://cdn.sabirds.app/masked-booby/1_medium.webp,Boobies,Very Large,Marine,"['White', 'Black', 'Yellow']"
Matsudaira's Storm Petrel,Hydrobates matsudairae,Oosterse Stormswael,https://cdn.sabirds.app/matsudairas-storm-petrel/1_medium.webp,Storm-Petrels,Medium,Marine,"['Black', 'White']"
Melodious Lark,Mirafra cheniana,Spotlewerik,https://cdn.sabirds.app/melodious-lark/1_medium.webp,Larks,Small,Grassland,"['Brown', 'Buff']"
Meves's Starling,Lamprotornis mevesii,Langstertglansspreeu,https://cdn.sabirds.app/mevess-starling/1_medium.webp,Starlings,Medium,Grassland,"['Blue', 'Purple']"
Meyer's Parrot,Poicephalus meyeri,Bosveldpapegaai,,Parrots,Medium,Grassland,"['Brown', 'Green', 'Yellow']"
Miombo Blue-eared Starling,Lamprotornis elisabeth,Klein-blouoorglansspreeu,,Starlings,Small,Savanna,"['Blue', 'Green', 'Purple']"
Mocking Cliff Chat,Thamnolaea cinnamomeiventris,Dassievoël,,Chats,Small,Rocky,"['Black', 'Orange', 'White']"
